CustomerKey,CustomerType,AcquisitionDate
C-0001,Individual,01-01-2022
C-0002,Individual,01-01-2022
C-0003,Business,01-01-2022
C-0004,Individual,01-01-2022
C-0005,Business,02-01-2022
C-0006,Individual,02-01-2022
C-0007,Individual,02-01-2022
C-0008,Individual,02-01-2022
C-0009,Individual,03-01-2022
C-0010,Individual,03-01-2022
C-0011,Individual,03-01-2022
C-0012,Individual,03-01-2022
C-0013,Individual,04-01-2022
C-0014,Individual,04-01-2022
C-0015,Business,04-01-2022
C-0016,Business,05-01-2022
C-0017,Individual,05-01-2022
C-0018,Individual,05-01-2022
C-0019,Individual,05-01-2022
C-0020,Business,06-01-2022
C-0021,Individual,06-01-2022
C-0022,Business,06-01-2022
C-0023,Individual,06-01-2022
C-0024,Individual,07-01-2022
C-0025,Business,07-01-2022
C-0026,Individual,07-01-2022
C-0027,Business,07-01-2022
C-0028,Individual,08-01-2022
C-0029,Individual,08-01-2022
C-0030,Individual,08-01-2022
C-0031,Individual,09-01-2022
C-0032,Business,09-01-2022
C-0033,Individual,09-01-2022
C-0034,Individual,09-01-2022
C-0035,Individual,10-01-2022
C-0036,Individual,10-01-2022
C-0037,Individual,10-01-2022
C-0038,Individual,10-01-2022
C-0039,Individual,11-01-2022
C-0040,Individual,11-01-2022
C-0041,Individual,11-01-2022
C-0042,Individual,11-01-2022
C-0043,Business,12-01-2022
C-0044,Individual,12-01-2022
C-0045,Individual,12-01-2022
C-0046,Individual,13-01-2022
C-0047,Individual,13-01-2022
C-0048,Business,13-01-2022
C-0049,Individual,13-01-2022
C-0050,Individual,14-01-2022
C-0051,Individual,14-01-2022
C-0052,Individual,14-01-2022
C-0053,Individual,14-01-2022
C-0054,Individual,15-01-2022
C-0055,Individual,15-01-2022
C-0056,Individual,15-01-2022
C-0057,Individual,15-01-2022
C-0058,Business,16-01-2022
C-0059,Individual,16-01-2022
C-0060,Individual,16-01-2022
C-0061,Individual,17-01-2022
C-0062,Business,17-01-2022
C-0063,Business,17-01-2022
C-0064,Individual,17-01-2022
C-0065,Business,18-01-2022
C-0066,Individual,18-01-2022
C-0067,Individual,18-01-2022
C-0068,Business,18-01-2022
C-0069,Individual,19-01-2022
C-0070,Individual,19-01-2022
C-0071,Individual,19-01-2022
C-0072,Individual,20-01-2022
C-0073,Business,20-01-2022
C-0074,Individual,20-01-2022
C-0075,Individual,20-01-2022
C-0076,Business,21-01-2022
C-0077,Business,21-01-2022
C-0078,Business,21-01-2022
C-0079,Individual,21-01-2022
C-0080,Individual,22-01-2022
C-0081,Individual,22-01-2022
C-0082,Individual,22-01-2022
C-0083,Individual,22-01-2022
C-0084,Business,23-01-2022
C-0085,Individual,23-01-2022
C-0086,Individual,23-01-2022
C-0087,Individual,24-01-2022
C-0088,Individual,24-01-2022
C-0089,Business,24-01-2022
C-0090,Individual,24-01-2022
C-0091,Individual,25-01-2022
C-0092,Individual,25-01-2022
C-0093,Individual,25-01-2022
C-0094,Individual,25-01-2022
C-0095,Individual,26-01-2022
C-0096,Individual,26-01-2022
C-0097,Individual,26-01-2022
C-0098,Individual,26-01-2022
C-0099,Individual,27-01-2022
C-0100,Individual,27-01-2022
C-0101,Individual,27-01-2022
C-0102,Business,28-01-2022
C-0103,Individual,28-01-2022
C-0104,Individual,28-01-2022
C-0105,Individual,28-01-2022
C-0106,Individual,29-01-2022
C-0107,Individual,29-01-2022
C-0108,Business,29-01-2022
C-0109,Individual,29-01-2022
C-0110,Business,30-01-2022
C-0111,Business,30-01-2022
C-0112,Individual,30-01-2022
C-0113,Individual,30-01-2022
C-0114,Individual,31-01-2022
C-0115,Individual,31-01-2022
