Date,Year,Quarter,MonthName,MonthNum,DayOfWeek
01-01-2022,2022,Q1,January,1,Saturday
02-01-2022,2022,Q1,January,1,Sunday
03-01-2022,2022,Q1,January,1,Monday
04-01-2022,2022,Q1,January,1,Tuesday
05-01-2022,2022,Q1,January,1,Wednesday
06-01-2022,2022,Q1,January,1,Thursday
07-01-2022,2022,Q1,January,1,Friday
08-01-2022,2022,Q1,January,1,Saturday
09-01-2022,2022,Q1,January,1,Sunday
10-01-2022,2022,Q1,January,1,Monday
11-01-2022,2022,Q1,January,1,Tuesday
12-01-2022,2022,Q1,January,1,Wednesday
13-01-2022,2022,Q1,January,1,Thursday
14-01-2022,2022,Q1,January,1,Friday
15-01-2022,2022,Q1,January,1,Saturday
16-01-2022,2022,Q1,January,1,Sunday
17-01-2022,2022,Q1,January,1,Monday
18-01-2022,2022,Q1,January,1,Tuesday
19-01-2022,2022,Q1,January,1,Wednesday
20-01-2022,2022,Q1,January,1,Thursday
21-01-2022,2022,Q1,January,1,Friday
22-01-2022,2022,Q1,January,1,Saturday
23-01-2022,2022,Q1,January,1,Sunday
24-01-2022,2022,Q1,January,1,Monday
25-01-2022,2022,Q1,January,1,Tuesday
26-01-2022,2022,Q1,January,1,Wednesday
27-01-2022,2022,Q1,January,1,Thursday
28-01-2022,2022,Q1,January,1,Friday
29-01-2022,2022,Q1,January,1,Saturday
30-01-2022,2022,Q1,January,1,Sunday
31-01-2022,2022,Q1,January,1,Monday
01-02-2022,2022,Q1,February,2,Tuesday
02-02-2022,2022,Q1,February,2,Wednesday
03-02-2022,2022,Q1,February,2,Thursday
04-02-2022,2022,Q1,February,2,Friday
05-02-2022,2022,Q1,February,2,Saturday
06-02-2022,2022,Q1,February,2,Sunday
07-02-2022,2022,Q1,February,2,Monday
08-02-2022,2022,Q1,February,2,Tuesday
09-02-2022,2022,Q1,February,2,Wednesday
10-02-2022,2022,Q1,February,2,Thursday
11-02-2022,2022,Q1,February,2,Friday
12-02-2022,2022,Q1,February,2,Saturday
